
WLA DX: 6809 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
s = 5bit signed ([-16, +15])



"ABX" $3A
"EORA ?,PCR" $A88D
"EORA ?,S" $A8E9
"EORA ?,U" $A8C9
"EORA ?,X" $A889
"EORA ?,Y" $A8A9
"EORA A,S" $A8E6
"EORA A,U" $A8C6
"EORA A,X" $A886
"EORA A,Y" $A8A6
"EORA B,S" $A8E5
"EORA B,U" $A8C5
"EORA B,X" $A885
"EORA B,Y" $A8A5
"EORA D,S" $A8EB
"EORA D,U" $A8CB
"EORA D,X" $A88B
"EORA D,Y" $A8AB
"EORA s,S" $A860
"EORA s,U" $A840
"EORA s,X" $A800
"EORA s,Y" $A820
"EORA x" $98
"EORA x,PCR" $A88C
"EORA x,S" $A8E8
"EORA x,U" $A8C8
"EORA x,X" $A888
"EORA x,Y" $A8A8
"EORA,--S" $A8E3
"EORA,--U" $A8C3
"EORA,--X" $A883
"EORA,--Y" $A8A3
"EORA,-S" $A8E2
"EORA,-U" $A8C2
"EORA,-X" $A882
"EORA,-Y" $A8A2
"EORA,S" $A8E4
"EORA,S+" $A8E0
"EORA,S++" $A8E1
"EORA,U" $A8C4
"EORA,U+" $A8C0
"EORA,U++" $A8C1
"EORA,X" $A884
"EORA,X+" $A880
"EORA,X++" $A881
"EORA,Y" $A8A4
"EORA,Y+" $A8A0
"EORA,Y++" $A8A1
"EORB #x" $C8
"EORB (,--S)" $E8F3
"EORB (,--U)" $E8D3
"EORB (,--X)" $E893
"EORB (,--Y)" $E8B3
"EORB (,S)" $E8F4
"EORB (,S++)" $E8F1
"EORB (,U)" $E8D4
"EORB (,U++)" $E8D1
"EORB (,X)" $E894
"EORB (,X++)" $E891
"EORB (,Y)" $E8B4
"EORB (,Y++)" $E8B1
"EORB (?)" $E89F
"EORB (?,PCR)" $E89D
"EORB (?,S)" $E8F9
"EORB (?,U)" $E8D9
"EORB (?,X)" $E899
"EORB (?,Y)" $E8B9
"EORB (A,S)" $E8F6
"EORB (A,U)" $E8D6
"EORB (A,X)" $E896
"EORB (A,Y)" $E8B6
"EORB (B,S)" $E8F5
"EORB (B,U)" $E8D5
"EORB (B,X)" $E895
"EORB (B,Y)" $E8B5
"EORB (D,S)" $E8FB
"EORB (D,U)" $E8DB
"EORB (D,X)" $E89B
"EORB (D,Y)" $E8BB
"EORB (x,PCR)" $E89C
"EORB (x,S)" $E8F8
"EORB (x,U)" $E8D8
"EORB (x,X)" $E898
"EORB (x,Y)" $E8B8
"EORB ?" $F8
"EORB ?,PCR" $E88D
"EORB ?,S" $E8E9
"EORB ?,U" $E8C9
"EORB ?,X" $E889
"EORB ?,Y" $E8A9
"EORB A,S" $E8E6
"EORB A,U" $E8C6
"EORB A,X" $E886
"EORB A,Y" $E8A6
"EORB B,S" $E8E5
"EORB B,U" $E8C5
"EORB B,X" $E885
"EORB B,Y" $E8A5
"EORB D,S" $E8EB
"EORB D,U" $E8CB
"EORB D,X" $E88B
"EORB D,Y" $E8AB
"EORB s,S" $E860
"EORB s,U" $E840
"EORB s,X" $E800
"EORB s,Y" $E820
"EORB x" $D8
"EORB x,PCR" $E88C
"EORB x,S" $E8E8
"EORB x,U" $E8C8
"EORB x,X" $E888
"EORB x,Y" $E8A8
"EORB,--S" $E8E3
"EORB,--U" $E8C3
"EORB,--X" $E883
"EORB,--Y" $E8A3
"EORB,-S" $E8E2
"EORB,-U" $E8C2
"EORB,-X" $E882
"EORB,-Y" $E8A2
"EORB,S" $E8E4
"EORB,S+" $E8E0
"EORB,S++" $E8E1
"EORB,U" $E8C4
"EORB,U+" $E8C0
"EORB,U++" $E8C1
"EORB,X" $E884
"EORB,X+" $E880
"EORB,X++" $E881
"EORB,Y" $E8A4
"EORB,Y+" $E8A0
"EORB,Y++" $E8A1
"EXG r" $1E
"INC (,--S)" $6CF3
"INC (,--U)" $6CD3
"INC (,--X)" $6C93
"INC (,--Y)" $6CB3
"INC (,S)" $6CF4
"INC (,S++)" $6CF1
"INC (,U)" $6CD4
"INC (,U++)" $6CD1
"INC (,X)" $6C94
"INC (,X++)" $6C91
"INC (,Y)" $6CB4
"INC (,Y++)" $6CB1
"INC (?)" $6C9F
"INC (?,PCR)" $6C9D
"INC (?,S)" $6CF9
"INC (?,U)" $6CD9
"INC (?,X)" $6C99
"INC (?,Y)" $6CB9
"INC (A,S)" $6CF6
"INC (A,U)" $6CD6
"INC (A,X)" $6C96
"INC (A,Y)" $6CB6
"INC (B,S)" $6CF5
"INC (B,U)" $6CD5
"INC (B,X)" $6C95
"INC (B,Y)" $6CB5
"INC (D,S)" $6CFB
"INC (D,U)" $6CDB
"INC (D,X)" $6C9B
"INC (D,Y)" $6CBB
"INC (x,PCR)" $6C9C
"INC (x,S)" $6CF8
"INC (x,U)" $6CD8
"INC (x,X)" $6C98
"INC (x,Y)" $6CB8
"INC ?" $7C
"INC ?,PCR" $6C8D
"INC ?,S" $6CE9
"INC ?,U" $6CC9
"INC ?,X" $6C89
"INC ?,Y" $6CA9
"INC A,S" $6CE6
"INC A,U" $6CC6
"INC A,X" $6C86
"INC A,Y" $6CA6
"INC B,S" $6CE5
"INC B,U" $6CC5
"INC B,X" $6C85
"INC B,Y" $6CA5
"INC D,S" $6CEB
"INC D,U" $6CCB
"INC D,X" $6C8B
"INC D,Y" $6CAB
"INC s,S" $6C60
"INC s,U" $6C40
"INC s,X" $6C00
"INC s,Y" $6C20
"INC x" $0C
"INC x,PCR" $6C8C
"INC x,S" $6CE8
"INC x,U" $6CC8
"INC x,X" $6C88
"INC x,Y" $6CA8
"INC,--S" $6CE3
"INC,--U" $6CC3
"INC,--X" $6C83
"INC,--Y" $6CA3
"INC,-S" $6CE2
"INC,-U" $6CC2
"INC,-X" $6C82
"INC,-Y" $6CA2
"INC,S" $6CE4
"INC,S+" $6CE0
"INC,S++" $6CE1
"INC,U" $6CC4
"INC,U+" $6CC0
"INC,U++" $6CC1
"INC,X" $6C84
"INC,X+" $6C80
"INC,X++" $6C81
"INC,Y" $6CA4
"INC,Y+" $6CA0
"INC,Y++" $6CA1
"INCA" $4C
"INCB" $5C
"JMP (,--S)" $6EF3
"JMP (,--U)" $6ED3
"JMP (,--X)" $6E93
"JMP (,--Y)" $6EB3
"JMP (,S)" $6EF4
"JMP (,S++)" $6EF1
"JMP (,U)" $6ED4
"JMP (,U++)" $6ED1
"JMP (,X)" $6E94
"JMP (,X++)" $6E91
"JMP (,Y)" $6EB4
"JMP (,Y++)" $6EB1
"JMP (?)" $6E9F
"JMP (?,PCR)" $6E9D
"JMP (?,S)" $6EF9
"JMP (?,U)" $6ED9
"JMP (?,X)" $6E99
"JMP (?,Y)" $6EB9
"JMP (A,S)" $6EF6
"JMP (A,U)" $6ED6
"JMP (A,X)" $6E96
"JMP (A,Y)" $6EB6
"JMP (B,S)" $6EF5
"JMP (B,U)" $6ED5
"JMP (B,X)" $6E95
"JMP (B,Y)" $6EB5
"JMP (D,S)" $6EFB
"JMP (D,U)" $6EDB
"JMP (D,X)" $6E9B
"JMP (D,Y)" $6EBB
"JMP (x,PCR)" $6E9C
"JMP (x,S)" $6EF8
"JMP (x,U)" $6ED8
"JMP (x,X)" $6E98
"JMP (x,Y)" $6EB8
"JMP ?" $7E
"JMP ?,PCR" $6E8D
"JMP ?,S" $6EE9
"JMP ?,U" $6EC9
"JMP ?,X" $6E89
"JMP ?,Y" $6EA9
"JMP A,S" $6EE6
"JMP A,U" $6EC6
"JMP A,X" $6E86
"JMP A,Y" $6EA6
"JMP B,S" $6EE5
"JMP B,U" $6EC5
"JMP B,X" $6E85
"JMP B,Y" $6EA5
"JMP D,S" $6EEB
"JMP D,U" $6ECB
"JMP D,X" $6E8B
"JMP D,Y" $6EAB
"JMP s,S" $6E60
"JMP s,U" $6E40
"JMP s,X" $6E00
"JMP s,Y" $6E20
"JMP x" $0E
"JMP x,PCR" $6E8C
"JMP x,S" $6EE8
"JMP x,U" $6EC8
"JMP x,X" $6E88
"JMP x,Y" $6EA8
"JMP,--S" $6EE3
"JMP,--U" $6EC3
"JMP,--X" $6E83
"JMP,--Y" $6EA3
"JMP,-S" $6EE2
"JMP,-U" $6EC2
"JMP,-X" $6E82
"JMP,-Y" $6EA2
"JMP,S" $6EE4
"JMP,S+" $6EE0
"JMP,S++" $6EE1
"JMP,U" $6EC4
"JMP,U+" $6EC0
"JMP,U++" $6EC1
"JMP,X" $6E84
"JMP,X+" $6E80
"JMP,X++" $6E81
"JMP,Y" $6EA4
"JMP,Y+" $6EA0
"JMP,Y++" $6EA1
"JSR (,--S)" $ADF3
"JSR (,--U)" $ADD3
"JSR (,--X)" $AD93
"JSR (,--Y)" $ADB3
"JSR (,S)" $ADF4
"JSR (,S++)" $ADF1
"JSR (,U)" $ADD4
"JSR (,U++)" $ADD1
"JSR (,X)" $AD94
"JSR (,X++)" $AD91
"JSR (,Y)" $ADB4
"JSR (,Y++)" $ADB1
"JSR (?)" $AD9F
"JSR (?,PCR)" $AD9D
"JSR (?,S)" $ADF9
"JSR (?,U)" $ADD9
"JSR (?,X)" $AD99
"JSR (?,Y)" $ADB9
"JSR (A,S)" $ADF6
"JSR (A,U)" $ADD6
"JSR (A,X)" $AD96
"JSR (A,Y)" $ADB6
"JSR (B,S)" $ADF5
"JSR (B,U)" $ADD5
"JSR (B,X)" $AD95
"JSR (B,Y)" $ADB5
"JSR (D,S)" $ADFB
"JSR (D,U)" $ADDB
"JSR (D,X)" $AD9B
"JSR (D,Y)" $ADBB
"JSR (x,PCR)" $AD9C
"JSR (x,S)" $ADF8
"JSR (x,U)" $ADD8
"JSR (x,X)" $AD98
"JSR (x,Y)" $ADB8
"JSR ?" $BD
"JSR ?,PCR" $AD8D
"JSR ?,S" $ADE9
"JSR ?,U" $ADC9
"JSR ?,X" $AD89
"JSR ?,Y" $ADA9
"JSR A,S" $ADE6
"JSR A,U" $ADC6
"JSR A,X" $AD86
"JSR A,Y" $ADA6
"JSR B,S" $ADE5
"JSR B,U" $ADC5
"JSR B,X" $AD85
"JSR B,Y" $ADA5
"JSR D,S" $ADEB
"JSR D,U" $ADCB
"JSR D,X" $AD8B
"JSR D,Y" $ADAB
"JSR s,S" $AD60
"JSR s,U" $AD40
"JSR s,X" $AD00
"JSR s,Y" $AD20
"JSR x" $9D
"JSR x,PCR" $AD8C
"JSR x,S" $ADE8
"JSR x,U" $ADC8
"JSR x,X" $AD88
"JSR x,Y" $ADA8
"JSR,--S" $ADE3
"JSR,--U" $ADC3
"JSR,--X" $AD83
"JSR,--Y" $ADA3
"JSR,-S" $ADE2
"JSR,-U" $ADC2
"JSR,-X" $AD82
"JSR,-Y" $ADA2
"JSR,S" $ADE4
"JSR,S+" $ADE0
"JSR,S++" $ADE1
"JSR,U" $ADC4
"JSR,U+" $ADC0
"JSR,U++" $ADC1
"JSR,X" $AD84
"JSR,X+" $AD80
"JSR,X++" $AD81
"JSR,Y" $ADA4
"JSR,Y+" $ADA0
"JSR,Y++" $ADA1
"LBCC ?" $1024
"LBCS ?" $1025
"LBEQ ?" $1027
"LBGE ?" $102C
"LBGT ?" $102E
"LBHI ?" $1022
"LBHS ?" $1024
"LBLE ?" $102F
"LBLO ?" $1025
"LBLS ?" $1023
"LBLT ?" $102D
"LBMI ?" $102B
"LBNE ?" $1026
"LBPL ?" $102A
"LBRA ?" $16
"LBRN ?" $1021
"LBSR ?" $17
"LBVC ?" $1028
"LBVS ?" $1029
"LDA #x" $86
"LDA (,--S)" $A6F3
"LDA (,--U)" $A6D3
"LDA (,--X)" $A693
"LDA (,--Y)" $A6B3
"LDA (,S)" $A6F4
"LDA (,S++)" $A6F1
"LDA (,U)" $A6D4
"LDA (,U++)" $A6D1
"LDA (,X)" $A694
"LDA (,X++)" $A691
"LDA (,Y)" $A6B4
"LDA (,Y++)" $A6B1
"LDA (?)" $A69F
"LDA (?,PCR)" $A69D
"LDA (?,S)" $A6F9
"LDA (?,U)" $A6D9
"LDA (?,X)" $A699
"LDA (?,Y)" $A6B9
"LDA (A,S)" $A6F6
"LDA (A,U)" $A6D6
"LDA (A,X)" $A696
"LDA (A,Y)" $A6B6
"LDA (B,S)" $A6F5
"LDA (B,U)" $A6D5
"LDA (B,X)" $A695
"LDA (B,Y)" $A6B5
"LDA (D,S)" $A6FB
"LDA (D,U)" $A6DB
"LDA (D,X)" $A69B
"LDA (D,Y)" $A6BB
"LDA (x,PCR)" $A69C
"LDA (x,S)" $A6F8
"LDA (x,U)" $A6D8
"LDA (x,X)" $A698
"LDA (x,Y)" $A6B8
"LDA ?" $B6
"LDA ?,PCR" $A68D
"LDA ?,S" $A6E9
"LDA ?,U" $A6C9
"LDA ?,X" $A689
"LDA ?,Y" $A6A9
"LDA A,S" $A6E6
"LDA A,U" $A6C6
"LDA A,X" $A686
"LDA A,Y" $A6A6
"LDA B,S" $A6E5
"LDA B,U" $A6C5
"LDA B,X" $A685
"LDA B,Y" $A6A5
"LDA D,S" $A6EB
"LDA D,U" $A6CB
"LDA D,X" $A68B
"LDA D,Y" $A6AB
"LDA s,S" $A660
"LDA s,U" $A640
"LDA s,X" $A600
"LDA s,Y" $A620
"LDA x" $96
"LDA x,PCR" $A68C
"LDA x,S" $A6E8
"LDA x,U" $A6C8
"LDA x,X" $A688
"LDA x,Y" $A6A8
"LDA,--S" $A6E3
"LDA,--U" $A6C3
"LDA,--X" $A683
"LDA,--Y" $A6A3
"LDA,-S" $A6E2
"LDA,-U" $A6C2
"LDA,-X" $A682
"LDA,-Y" $A6A2
"LDA,S" $A6E4
"LDA,S+" $A6E0
"LDA,S++" $A6E1
"LDA,U" $A6C4
"LDA,U+" $A6C0
"LDA,U++" $A6C1
"LDA,X" $A684
"LDA,X+" $A680
"LDA,X++" $A681
"LDA,Y" $A6A4
"LDA,Y+" $A6A0
"LDA,Y++" $A6A1
"LDB #x" $C6
"LDB (,--S)" $E6F3
"LDB (,--U)" $E6D3
"LDB (,--X)" $E693
"LDB (,--Y)" $E6B3
"LDB (,S)" $E6F4
"LDB (,S++)" $E6F1
"LDB (,U)" $E6D4
"LDB (,U++)" $E6D1
"LDB (,X)" $E694
"LDB (,X++)" $E691
"LDB (,Y)" $E6B4
"LDB (,Y++)" $E6B1
"LDB (?)" $E69F
"LDB (?,PCR)" $E69D
"LDB (?,S)" $E6F9
"LDB (?,U)" $E6D9
"LDB (?,X)" $E699
"LDB (?,Y)" $E6B9
"LDB (A,S)" $E6F6
"LDB (A,U)" $E6D6
"LDB (A,X)" $E696
"LDB (A,Y)" $E6B6
"LDB (B,S)" $E6F5
"LDB (B,U)" $E6D5
"LDB (B,X)" $E695
"LDB (B,Y)" $E6B5
"LDB (D,S)" $E6FB
"LDB (D,U)" $E6DB
"LDB (D,X)" $E69B
"LDB (D,Y)" $E6BB
"LDB (x,PCR)" $E69C
"LDB (x,S)" $E6F8
"LDB (x,U)" $E6D8
"LDB (x,X)" $E698
"LDB (x,Y)" $E6B8
"LDB ?" $F6
"LDB ?,PCR" $E68D
"LDB ?,S" $E6E9
"LDB ?,U" $E6C9
"LDB ?,X" $E689
"LDB ?,Y" $E6A9
"LDB A,S" $E6E6
"LDB A,U" $E6C6
"LDB A,X" $E686
"LDB A,Y" $E6A6
"LDB B,S" $E6E5
"LDB B,U" $E6C5
"LDB B,X" $E685
"LDB B,Y" $E6A5
"LDB D,S" $E6EB
"LDB D,U" $E6CB
"LDB D,X" $E68B
"LDB D,Y" $E6AB
"LDB s,S" $E660
"LDB s,U" $E640
"LDB s,X" $E600
"LDB s,Y" $E620
"LDB x" $D6
"LDB x,PCR" $E68C
"LDB x,S" $E6E8
"LDB x,U" $E6C8
"LDB x,X" $E688
"LDB x,Y" $E6A8
"LDB,--S" $E6E3
"LDB,--U" $E6C3
"LDB,--X" $E683
"LDB,--Y" $E6A3
"LDB,-S" $E6E2
"LDB,-U" $E6C2
"LDB,-X" $E682
"LDB,-Y" $E6A2
"LDB,S" $E6E4
"LDB,S+" $E6E0
"LDB,S++" $E6E1
"LDB,U" $E6C4
"LDB,U+" $E6C0
"LDB,U++" $E6C1
"LDB,X" $E684
"LDB,X+" $E680
"LDB,X++" $E681
"LDB,Y" $E6A4
"LDB,Y+" $E6A0
"LDB,Y++" $E6A1
"LDD #x" $CC
"LDD (,--S)" $ECF3
"LDD (,--U)" $ECD3
"LDD (,--X)" $EC93
"LDD (,--Y)" $ECB3
"LDD (,S)" $ECF4
"LDD (,S++)" $ECF1
"LDD (,U)" $ECD4
"LDD (,U++)" $ECD1
"LDD (,X)" $EC94
"LDD (,X++)" $EC91
"LDD (,Y)" $ECB4
"LDD (,Y++)" $ECB1
"LDD (?)" $EC9F
"LDD (?,PCR)" $EC9D
"LDD (?,S)" $ECF9
"LDD (?,U)" $ECD9
"LDD (?,X)" $EC99
"LDD (?,Y)" $ECB9
"LDD (A,S)" $ECF6
"LDD (A,U)" $ECD6
"LDD (A,X)" $EC96
"LDD (A,Y)" $ECB6
"LDD (B,S)" $ECF5
"LDD (B,U)" $ECD5
"LDD (B,X)" $EC95
"LDD (B,Y)" $ECB5
"LDD (D,S)" $ECFB
"LDD (D,U)" $ECDB
"LDD (D,X)" $EC9B
"LDD (D,Y)" $ECBB
"LDD (x,PCR)" $EC9C
"LDD (x,S)" $ECF8
"LDD (x,U)" $ECD8
"LDD (x,X)" $EC98
"LDD (x,Y)" $ECB8
"LDD ?" $FC
"LDD ?,PCR" $EC8D
"LDD ?,S" $ECE9
"LDD ?,U" $ECC9
"LDD ?,X" $EC89
"LDD ?,Y" $ECA9
"LDD A,S" $ECE6
"LDD A,U" $ECC6
"LDD A,X" $EC86
"LDD A,Y" $ECA6
"LDD B,S" $ECE5
"LDD B,U" $ECC5
"LDD B,X" $EC85
"LDD B,Y" $ECA5
"LDD D,S" $ECEB
"LDD D,U" $ECCB
"LDD D,X" $EC8B
"LDD D,Y" $ECAB
"LDD s,S" $EC60
"LDD s,U" $EC40
"LDD s,X" $EC00
"LDD s,Y" $EC20
"LDD x" $DC
"LDD x,PCR" $EC8C
"LDD x,S" $ECE8
"LDD x,U" $ECC8
"LDD x,X" $EC88
"LDD x,Y" $ECA8
"LDD,--S" $ECE3
"LDD,--U" $ECC3
"LDD,--X" $EC83
"LDD,--Y" $ECA3
"LDD,-S" $ECE2
"LDD,-U" $ECC2
"LDD,-X" $EC82
"LDD,-Y" $ECA2
"LDD,S" $ECE4
"LDD,S+" $ECE0
"LDD,S++" $ECE1
"LDD,U" $ECC4
"LDD,U+" $ECC0
"LDD,U++" $ECC1
"LDD,X" $EC84
"LDD,X+" $EC80
"LDD,X++" $EC81
"LDD,Y" $ECA4
"LDD,Y+" $ECA0
"LDD,Y++" $ECA1
"LDS #x" $10CE
"LDS (,--S)" $10EEF3
"LDS (,--U)" $10EED3
"LDS (,--X)" $10EE93
"LDS (,--Y)" $10EEB3
"LDS (,S)" $10EEF4
"LDS (,S++)" $10EEF1
"LDS (,U)" $10EED4
"LDS (,U++)" $10EED1
"LDS (,X)" $10EE94
"LDS (,X++)" $10EE91
"LDS (,Y)" $10EEB4
"LDS (,Y++)" $10EEB1
"LDS (?)" $10EE9F
"LDS (?,PCR)" $10EE9D
"LDS (?,S)" $10EEF9
"LDS (?,U)" $10EED9
"LDS (?,X)" $10EE99
"LDS (?,Y)" $10EEB9
"LDS (A,S)" $10EEF6
"LDS (A,U)" $10EED6
"LDS (A,X)" $10EE96
"LDS (A,Y)" $10EEB6
"LDS (B,S)" $10EEF5
"LDS (B,U)" $10EED5
"LDS (B,X)" $10EE95
"LDS (B,Y)" $10EEB5
"LDS (D,S)" $10EEFB
"LDS (D,U)" $10EEDB
"LDS (D,X)" $10EE9B
"LDS (D,Y)" $10EEBB
"LDS (x,PCR)" $10EE9C
"LDS (x,S)" $10EEF8
"LDS (x,U)" $10EED8
"LDS (x,X)" $10EE98
"LDS (x,Y)" $10EEB8
"LDS ?" $10FE
"LDS ?,PCR" $10EE8D
"LDS ?,S" $10EEE9
"LDS ?,U" $10EEC9
"LDS ?,X" $10EE89
"LDS ?,Y" $10EEA9
"LDS A,S" $10EEE6
"LDS A,U" $10EEC6
"LDS A,X" $10EE86
"LDS A,Y" $10EEA6
"LDS B,S" $10EEE5
"LDS B,U" $10EEC5
"LDS B,X" $10EE85
"LDS B,Y" $10EEA5
"LDS D,S" $10EEEB
"LDS D,U" $10EECB
"LDS D,X" $10EE8B
"LDS D,Y" $10EEAB
"LDS s,S" $10EE60
"LDS s,U" $10EE40
"LDS s,X" $10EE00
"LDS s,Y" $10EE20
"LDS x" $10DE
"LDS x,PCR" $10EE8C
"LDS x,S" $10EEE8
"LDS x,U" $10EEC8
"LDS x,X" $10EE88
"LDS x,Y" $10EEA8
"LDS,--S" $10EEE3
"LDS,--U" $10EEC3
"LDS,--X" $10EE83
"LDS,--Y" $10EEA3
"LDS,-S" $10EEE2
"LDS,-U" $10EEC2
"LDS,-X" $10EE82
"LDS,-Y" $10EEA2
"LDS,S" $10EEE4
"LDS,S+" $10EEE0
"LDS,S++" $10EEE1
"LDS,U" $10EEC4
"LDS,U+" $10EEC0
"LDS,U++" $10EEC1
"LDS,X" $10EE84
"LDS,X+" $10EE80
"LDS,X++" $10EE81
"LDS,Y" $10EEA4
"LDS,Y+" $10EEA0
"LDS,Y++" $10EEA1
"LDU #x" $CE
"LDU (,--S)" $EEF3
"LDU (,--U)" $EED3
"LDU (,--X)" $EE93
"LDU (,--Y)" $EEB3
"LDU (,S)" $EEF4
"LDU (,S++)" $EEF1
"LDU (,U)" $EED4
"LDU (,U++)" $EED1
"LDU (,X)" $EE94
"LDU (,X++)" $EE91
"LDU (,Y)" $EEB4
"LDU (,Y++)" $EEB1
"LDU (?)" $EE9F
"LDU (?,PCR)" $EE9D
"LDU (?,S)" $EEF9
"LDU (?,U)" $EED9
"LDU (?,X)" $EE99
"LDU (?,Y)" $EEB9
"LDU (A,S)" $EEF6
"LDU (A,U)" $EED6
"LDU (A,X)" $EE96
"LDU (A,Y)" $EEB6
"LDU (B,S)" $EEF5
"LDU (B,U)" $EED5
"LDU (B,X)" $EE95
"LDU (B,Y)" $EEB5
"LDU (D,S)" $EEFB
"LDU (D,U)" $EEDB
"LDU (D,X)" $EE9B
"LDU (D,Y)" $EEBB
"LDU (x,PCR)" $EE9C
"LDU (x,S)" $EEF8
"LDU (x,U)" $EED8
"LDU (x,X)" $EE98
"LDU (x,Y)" $EEB8
"LDU ?" $FE
"LDU ?,PCR" $EE8D
"LDU ?,S" $EEE9
"LDU ?,U" $EEC9
"LDU ?,X" $EE89
"LDU ?,Y" $EEA9
"LDU A,S" $EEE6
"LDU A,U" $EEC6
"LDU A,X" $EE86
"LDU A,Y" $EEA6
"LDU B,S" $EEE5
"LDU B,U" $EEC5
"LDU B,X" $EE85
"LDU B,Y" $EEA5
"LDU D,S" $EEEB
"LDU D,U" $EECB
"LDU D,X" $EE8B
"LDU D,Y" $EEAB
"LDU s,S" $EE60
"LDU s,U" $EE40
"LDU s,X" $EE00
"LDU s,Y" $EE20
"LDU x" $DE
"LDU x,PCR" $EE8C
"LDU x,S" $EEE8
"LDU x,U" $EEC8
"LDU x,X" $EE88
"LDU x,Y" $EEA8
"LDU,--S" $EEE3
"LDU,--U" $EEC3
"LDU,--X" $EE83
"LDU,--Y" $EEA3
"LDU,-S" $EEE2
"LDU,-U" $EEC2
"LDU,-X" $EE82
"LDU,-Y" $EEA2
"LDU,S" $EEE4
"LDU,S+" $EEE0
"LDU,S++" $EEE1
"LDU,U" $EEC4
"LDU,U+" $EEC0
"LDU,U++" $EEC1
"LDU,X" $EE84
"LDU,X+" $EE80
"LDU,X++" $EE81
"LDU,Y" $EEA4
"LDU,Y+" $EEA0
"LDU,Y++" $EEA1
"LDX #x" $8E
"LDX (,--S)" $AEF3
"LDX (,--U)" $AED3
"LDX (,--X)" $AE93
"LDX (,--Y)" $AEB3
"LDX (,S)" $AEF4
"LDX (,S++)" $AEF1
"LDX (,U)" $AED4
"LDX (,U++)" $AED1
"LDX (,X)" $AE94
"LDX (,X++)" $AE91
"LDX (,Y)" $AEB4
"LDX (,Y++)" $AEB1
"LDX (?)" $AE9F
"LDX (?,PCR)" $AE9D
"LDX (?,S)" $AEF9
"LDX (?,U)" $AED9
"LDX (?,X)" $AE99
"LDX (?,Y)" $AEB9
"LDX (A,S)" $AEF6
"LDX (A,U)" $AED6
"LDX (A,X)" $AE96
"LDX (A,Y)" $AEB6
"LDX (B,S)" $AEF5
"LDX (B,U)" $AED5
"LDX (B,X)" $AE95
"LDX (B,Y)" $AEB5
"LDX (D,S)" $AEFB
"LDX (D,U)" $AEDB
"LDX (D,X)" $AE9B
"LDX (D,Y)" $AEBB
"LDX (x,PCR)" $AE9C
"LDX (x,S)" $AEF8
"LDX (x,U)" $AED8
"LDX (x,X)" $AE98
"LDX (x,Y)" $AEB8
"LDX ?" $BE
"LDX ?,PCR" $AE8D
"LDX ?,S" $AEE9
"LDX ?,U" $AEC9
"LDX ?,X" $AE89
"LDX ?,Y" $AEA9
"LDX A,S" $AEE6
"LDX A,U" $AEC6
"LDX A,X" $AE86
"LDX A,Y" $AEA6
"LDX B,S" $AEE5
"LDX B,U" $AEC5
"LDX B,X" $AE85
"LDX B,Y" $AEA5
"LDX D,S" $AEEB
"LDX D,U" $AECB
"LDX D,X" $AE8B
"LDX D,Y" $AEAB
"LDX s,S" $AE60
"LDX s,U" $AE40
"LDX s,X" $AE00
"LDX s,Y" $AE20
"LDX x" $9E
"LDX x,PCR" $AE8C
"LDX x,S" $AEE8
"LDX x,U" $AEC8
"LDX x,X" $AE88
"LDX x,Y" $AEA8
"LDX,--S" $AEE3
"LDX,--U" $AEC3
"LDX,--X" $AE83
"LDX,--Y" $AEA3
"LDX,-S" $AEE2
"LDX,-U" $AEC2
"LDX,-X" $AE82
"LDX,-Y" $AEA2
"LDX,S" $AEE4
"LDX,S+" $AEE0
"LDX,S++" $AEE1
"LDX,U" $AEC4
"LDX,U+" $AEC0
"LDX,U++" $AEC1
"LDX,X" $AE84
"LDX,X+" $AE80
"LDX,X++" $AE81
"LDX,Y" $AEA4
"LDX,Y+" $AEA0
"LDX,Y++" $AEA1
"LDY #x" $108E
"LDY (,--S)" $10AEF3
"LDY (,--U)" $10AED3
"LDY (,--X)" $10AE93
"LDY (,--Y)" $10AEB3
"LDY (,S)" $10AEF4
"LDY (,S++)" $10AEF1
"LDY (,U)" $10AED4
"LDY (,U++)" $10AED1
"LDY (,X)" $10AE94
"LDY (,X++)" $10AE91
"LDY (,Y)" $10AEB4
"LDY (,Y++)" $10AEB1
"LDY (?)" $10AE9F
"LDY (?,PCR)" $10AE9D
"LDY (?,S)" $10AEF9
"LDY (?,U)" $10AED9
"LDY (?,X)" $10AE99
"LDY (?,Y)" $10AEB9
"LDY (A,S)" $10AEF6
"LDY (A,U)" $10AED6
"LDY (A,X)" $10AE96
"LDY (A,Y)" $10AEB6
"LDY (B,S)" $10AEF5
"LDY (B,U)" $10AED5
"LDY (B,X)" $10AE95
"LDY (B,Y)" $10AEB5
"LDY (D,S)" $10AEFB
"LDY (D,U)" $10AEDB
"LDY (D,X)" $10AE9B
"LDY (D,Y)" $10AEBB
"LDY (x,PCR)" $10AE9C
"LDY (x,S)" $10AEF8
"LDY (x,U)" $10AED8
"LDY (x,X)" $10AE98
"LDY (x,Y)" $10AEB8
"LDY ?" $10BE
"LDY ?,PCR" $10AE8D
"LDY ?,S" $10AEE9
"LDY ?,U" $10AEC9
"LDY ?,X" $10AE89
"LDY ?,Y" $10AEA9
"LDY A,S" $10AEE6
"LDY A,U" $10AEC6
"LDY A,X" $10AE86
"LDY A,Y" $10AEA6
